# time	stress	strain
4.8800000000	-0.4299061456	-0.0108896499
4.8900000000	-0.4001363451	-0.0101355720
4.9000000000	-0.3688005973	-0.0093418283
4.9100000000	-0.3360203015	-0.0085114937
4.9200000000	-0.3019226919	-0.0076477911
4.9300000000	-0.2666403694	-0.0067540795
4.9400000000	-0.2303108098	-0.0058338410
4.9500000000	-0.1930758489	-0.0048906684
4.9600000000	-0.1550811484	-0.0039282514
4.9700000000	-0.1164756416	-0.0029503625
4.9800000000	-0.0774109623	-0.0019608426
4.9900000000	-0.0380408587	-0.0009635862
5.0000000000	0.0014794055	0.0000374738
5.0100000000	0.0409936621	0.0010383816
5.0200000000	0.0803454559	0.0020351742
5.0300000000	0.1193786706	0.0030238971
5.0400000000	0.1579381559	0.0040006202
5.0500000000	0.1958703573	0.0049614541
5.0600000000	0.2330239429	0.0059025654
5.0700000000	0.2692504261	0.0068201930
5.0800000000	0.3044047803	0.0077106632
5.0900000000	0.3383460440	0.0085704054
5.1000000000	0.3709379117	0.0093959671
5.1100000000	0.4020493094	0.0101840280
5.1200000000	0.4315549503	0.0109314146
5.1300000000	0.4593358696	0.0116351135
5.1400000000	0.4852799337	0.0122922843
5.1500000000	0.5092823230	0.0129002719
5.1600000000	0.5312459842	0.0134566180
5.1700000000	0.5510820509	0.0139590714
5.1800000000	0.5687102291	0.0144055984
5.1900000000	0.5840591467	0.0147943910
5.2000000000	0.5970666640	0.0151238753
5.2100000000	0.6076801441	0.0153927179
5.2200000000	0.6158566818	0.0155998320
5.2300000000	0.6215632890	0.0157443820
5.2400000000	0.6247770368	0.0158257872
5.2500000000	0.6254851522	0.0158437240
5.2600000000	0.6236850701	0.0157981274
5.2700000000	0.6193844396	0.0156891911
5.2800000000	0.6126010849	0.0155173668
5.2900000000	0.6033629212	0.0152833613
5.3000000000	0.5917078258	0.0149881343
5.3100000000	0.5776834661	0.0146328931
5.3200000000	0.5613470840	0.0142190877
5.3300000000	0.5427652400	0.0137484041
5.3400000000	0.5220135165	0.0132227568
